NU_ANO;CO_CURSO;CO_GRUPO;CO_REGIAO_CURSO;CO_UF_CURSO;CO_MODALIDADE;MEDIA_NT_FG
2014;119534;4004;2;26;1.0;68.54375
2014;318882;4004;1;11;1.0;59.66
2014;1076421;4004;1;15;1.0;56.3
2014;1102628;4004;2;26;1.0;75.83636363636364
2014;1103723;4004;2;29;1.0;48.9
2014;1148708;4004;1;17;1.0;79.2
2014;5000143;4004;2;23;1.0;67.775
2014;5000349;4004;2;21;1.0;54.75714285714286
2017;317;4004;2;28;1.0;51.70967741935484
2017;513;4004;2;22;1.0;53.15094339622642
2017;968;4004;2;26;1.0;55.39729729729729
2017;2209;4004;2;23;1.0;52.94925373134328
2017;11452;4004;2;21;1.0;61.61621621621622
2017;11730;4004;2;23;1.0;49.33174603174604
2017;12025;4004;1;15;1.0;57.95882352941177
2017;12313;4004;2;24;1.0;65.21333333333334
2017;13216;4004;2;27;1.0;58.91666666666666
2017;13277;4004;2;29;1.0;53.129411764705885
2017;13401;4004;2;25;1.0;57.508
2017;13446;4004;2;25;1.0;59.116417910447765
2017;13595;4004;2;26;1.0;59.42654867256637
2017;13980;4004;2;23;1.0;65.11363636363636
2017;17898;4004;2;23;1.0;53.66153846153846
2017;18250;4004;1;15;1.0;53.42592592592592
2017;18267;4004;2;29;1.0;43.99090909090909
2017;18558;4004;2;22;1.0;56.75217391304348
2017;18559;4004;2;22;1.0;57.67272727272727
2017;18584;4004;2;23;1.0;51.648979591836735
2017;18683;4004;2;28;1.0;49.91153846153846
2017;19042;4004;2;29;1.0;62.75666666666667
2017;19047;4004;2;25;1.0;52.33396226415094
2017;20009;4004;1;15;1.0;55.98888888888889
2017;20030;4004;2;29;1.0;61.47857142857144
2017;20239;4004;2;29;1.0;61.32222222222222
2017;20933;4004;2;24;1.0;54.73846153846154
2017;22061;4004;1;13;1.0;42.98461538461538
2017;37862;4004;2;26;1.0;49.66190476190476
2017;41238;4004;1;17;1.0;57.65263157894737
2017;43664;4004;1;13;1.0;39.68421052631579
2017;46377;4004;2;23;1.0;44.56875
2017;48205;4004;2;26;1.0;45.81315789473685
2017;50888;4004;1;17;1.0;39.49444444444444
2017;57606;4004;2;24;1.0;61.60833333333333
2017;59078;4004;2;25;1.0;49.46666666666667
2017;59122;4004;2;23;1.0;54.817241379310346
2017;62484;4004;1;13;1.0;55.56037735849056
2017;73438;4004;1;13;1.0;48.883333333333326
2017;73519;4004;2;29;1.0;60.36
2017;83388;4004;2;26;1.0;51.832
2017;85150;4004;2;22;1.0;46.80526315789474
2017;88084;4004;2;22;1.0;48.05833333333334
2017;88154;4004;2;29;1.0;64.4
2017;91262;4004;2;24;1.0;63.8
2017;94455;4004;2;22;1.0;52.94
2017;98305;4004;1;14;1.0;51.67142857142857
2017;98665;4004;1;14;1.0;50.04545454545455
2017;98764;4004;2;27;1.0;59.53333333333333
2017;98957;4004;1;13;1.0;41.554545454545455
2017;100075;4004;2;24;1.0;42.41111111111112
2017;100105;4004;2;24;1.0;35.94285714285714
2017;101942;4004;2;27;1.0;57.615
2017;106996;4004;1;13;1.0;51.48461538461538
2017;107920;4004;2;21;1.0;52.524096385542165
2017;118468;4004;2;26;1.0;67.33043478260869
2017;119534;4004;2;26;1.0;51.148648648648646
2017;318882;4004;1;11;1.0;54.0
2017;1070485;4004;2;22;1.0;47.12857142857143
2017;1076129;4004;1;16;1.0;38.78823529411765
2017;1102628;4004;2;26;1.0;59.67209302325582
2017;1148708;4004;1;17;1.0;59.5
2017;1166783;4004;2;21;1.0;45.62068965517241
2017;1181115;4004;2;23;1.0;53.07272727272727
2017;1187671;4004;1;15;1.0;53.5
2017;1190071;4004;2;25;1.0;53.26428571428572
2017;1190145;4004;2;22;1.0;53.1
2017;1258063;4004;2;25;1.0;53.34666666666667
2017;1269545;4004;2;21;1.0;58.58181818181818
2017;1270596;4004;2;23;1.0;58.73
2017;5000143;4004;2;23;1.0;58.03030303030303
2017;5000951;4004;1;15;1.0;48.65581395348837
2021;317;4004;2;28;1.0;39.86951219512196
2021;513;4004;2;22;1.0;43.99777777777778
2021;968;4004;2;26;1.0;32.54533333333333
2021;2209;4004;2;23;1.0;37.06567164179105
2021;11452;4004;2;21;1.0;44.588
2021;11730;4004;2;23;1.0;38.74166666666667
2021;12313;4004;2;24;1.0;47.5304347826087
