CO_CURSO,NT_GER,QT_ALUNOS,QE_I63,QE_I57,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,QE_I23_ordinal
1070485,31.058823529411764,17,4.666666666666667,4.111111111111111,0.6842105263157895,0.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,2.6315789473684212
107360,38.31304347826087,46,3.6666666666666665,4.523809523809524,0.5384615384615384,0.07692307692307693,0.09615384615384616,0.15384615384615385,0.1346153846153846,0.0,2.8461538461538463
107422,32.305,20,4.8,4.6,0.6363636363636364,0.0,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.045454545454545456,2.4545454545454546
107920,24.76842105263158,19,4.0,4.555555555555555,0.8181818181818182,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,2.409090909090909
10814,36.50909090909091,44,4.666666666666667,4.266666666666667,0.7111111111111111,0.0,0.2222222222222222,0.022222222222222223,0.044444444444444446,0.0,2.7777777777777777
108660,29.325,68,3.206896551724138,4.137931034482759,0.6829268292682927,0.0975609756097561,0.06097560975609756,0.0975609756097561,0.04878048780487805,0.012195121951219513,2.2439024390243905
109276,24.799999999999997,4,4.0,4.0,0.0,0.0,0.5,0.25,0.25,0.0,3.25
109476,35.171052631578945,38,4.0,4.818181818181818,0.7,0.0,0.05,0.15,0.05,0.05,2.75
1098645,42.0,3,2.5,4.5,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,2.6666666666666665
1101244,40.29772727272727,44,4.24,4.28,0.8461538461538461,0.038461538461538464,0.0,0.07692307692307693,0.019230769230769232,0.019230769230769232,2.5384615384615383
1102342,50.81808510638297,94,4.631578947368421,4.526315789473684,0.4752475247524752,0.0297029702970297,0.0297029702970297,0.26732673267326734,0.1782178217821782,0.019801980198019802,3.3267326732673266
1102628,44.18490566037736,53,4.136363636363637,4.7727272727272725,0.6551724137931034,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.1724137931034483,0.0,2.810344827586207
1102636,43.334666666666664,75,3.659090909090909,4.613636363636363,0.5822784810126582,0.0379746835443038,0.02531645569620253,0.21518987341772153,0.13924050632911392,0.0,2.6202531645569622
1102674,46.371428571428574,35,3.2222222222222223,4.111111111111111,0.4166666666666667,0.05555555555555555,0.027777777777777776,0.3611111111111111,0.1388888888888889,0.0,2.8055555555555554
1102774,43.77222222222222,18,4.625,4.375,0.5714285714285714,0.047619047619047616,0.0,0.38095238095238093,0.0,0.0,2.5714285714285716
1102783,28.722727272727273,22,4.384615384615385,4.230769230769231,0.46153846153846156,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.07692307692307693,2.3846153846153846
1102793,39.62,10,5.0,4.5,0.8333333333333334,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,2.8333333333333335
1102800,40.721538461538465,65,4.666666666666667,4.666666666666667,0.6282051282051282,0.01282051282051282,0.05128205128205128,0.19230769230769232,0.11538461538461539,0.0,3.0256410256410255
1103034,41.018181818181816,11,5.0,5.0,0.8181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,3.1818181818181817
1103723,35.309090909090905,11,4.5,4.5,0.34782608695652173,0.0,0.0,0.6086956521739131,0.043478260869565216,0.0,3.4782608695652173
110428,36.81,10,4.8,4.6,0.4666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.0,0.2,2.2666666666666666
110528,50.4125,40,4.3125,4.4375,0.5777777777777777,0.022222222222222223,0.044444444444444446,0.24444444444444444,0.1111111111111111,0.0,3.2666666666666666
1105434,39.33,10,4.166666666666667,4.5,1.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335
1106427,30.099999999999998,9,4.5,5.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,2.5
1108692,40.093333333333334,15,3.0,4.6,1.0,0.0,0.0,0.0,0.0,0.0,2.888888888888889
110926,35.44444444444444,9,5.0,4.666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665
110974,41.983333333333334,18,5.0,4.833333333333333,0.8,0.0,0.1,0.05,0.05,0.0,2.6
110976,33.15909090909091,22,4.8,5.0,0.8181818181818182,0.0,0.13636363636363635,0.045454545454545456,0.0,0.0,2.6363636363636362
1110,42.41794871794872,39,4.444444444444445,4.555555555555555,0.926829268292683,0.0,0.0,0.04878048780487805,0.024390243902439025,0.0,2.8292682926829267
111278,36.3,14,5.0,5.0,0.4666666666666667,0.0,0.2,0.13333333333333333,0.0,0.2,2.533333333333333
1113852,32.464,25,4.230769230769231,4.230769230769231,0.7307692307692307,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,2.5384615384615383
1113854,29.642105263157898,19,4.6,4.4,0.6923076923076923,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.0,2.923076923076923
111476,40.71041666666667,48,4.105263157894737,4.157894736842105,0.68,0.0,0.14,0.06,0.12,0.0,2.54
1116093,32.22295081967213,61,4.448275862068965,4.275862068965517,0.7714285714285715,0.014285714285714285,0.1,0.04285714285714286,0.04285714285714286,0.02857142857142857,2.4857142857142858
