CO_CURSO,n_notas,area,NT_GER,NT_FG,NT_CE,NT_OBJ_FG,NT_DIS_FG,NT_OBJ_CE,NT_DIS_CE,tx_presenca,ODP,OPORT,INFRA,n_qe,Cluster_ID,PCA_X,PCA_Y
44992,119,A11,43.030252100840336,42.62605042016807,43.15042016806722,48.214285714285715,34.2436974789916,45.65714285714286,28.96470588235294,0.9153846153846154,4.92730352303523,4.633005476907916,4.469313049191098,123,1,-1.3811699102273323,1.0189002774410016
45003,53,A11,54.5188679245283,52.160377358490564,55.283018867924525,61.556603773584904,38.06603773584906,57.50377358490566,42.699999999999996,0.8412698412698413,5.036874999999999,4.9548963998964,5.26979797979798,60,1,0.34691605011075494,2.7891586445103322
45004,26,A12,54.638461538461534,44.41153846153846,58.03846153846154,50.48076923076923,35.30769230769231,62.30769230769231,33.715384615384615,0.896551724137931,4.9079022988505745,4.82132407822063,4.997805642633229,29,1,-0.2500004469438849,2.254721428489506
45008,87,A26,47.48160919540229,39.657471264367814,50.06896551724138,52.01149425287356,21.126436781609197,49.58620689655172,52.78620689655172,0.54375,5.229306504306504,4.797362597362597,4.8575409943591765,111,1,-0.6984591293373318,1.307336847359745
45009,52,A27,58.13076923076923,51.57884615384615,60.30576923076923,56.00961538461539,44.93269230769231,60.830769230769235,57.33653846153846,0.7123287671232876,4.928835978835979,4.655971982162458,4.513540736159784,63,1,-1.319625704827234,3.395947411712976
45024,30,A15,57.10333333333333,44.943333333333335,61.14,53.75,31.733333333333334,65.63666666666667,35.666666666666664,0.6122448979591837,5.0954460903679655,4.8124647921522925,4.635815746753247,32,1,-0.840063246575693,2.757730972698391
45030,70,A22,49.73,50.86857142857143,49.33714285714286,57.857142857142854,40.385714285714286,54.22714285714286,21.64,0.6306306306306306,5.354166666666666,5.139406683851129,5.2658841501434095,81,1,0.6452787354674285,2.2402460309946344
45031,46,A21,51.38695652173914,44.33478260869565,53.72173913043478,52.17391304347826,32.57608695652174,60.108695652173914,17.428260869565214,0.9019607843137255,5.233776595744681,4.896435479414203,5.104427251235761,47,1,0.4300637121034652,1.8365401142624918
45038,34,A01,59.226470588235294,45.06470588235294,63.92352941176471,55.14705882352941,29.941176470588236,66.88823529411764,47.05882352941177,0.8095238095238095,5.414342403628118,5.056781710353139,4.813052291623721,42,1,0.6142435525402519,2.7892240886750304
45039,62,A20,59.190322580645166,51.22741935483871,61.83064516129032,55.846774193548384,44.29838709677419,63.48870967741936,52.41612903225807,0.6739130434782609,5.205304400241109,4.683155590847899,4.565836940836941,79,1,-0.8241039337888598,3.453163581338584
