CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
1451148,35.47142857142857,0.0,0.041666666666666664,0.125,0.125,0.2916666666666667,0.375,0.0,0.041666666666666664,0.5416666666666666,0.0,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.041666666666666664
1452,43.68157894736842,0.023529411764705882,0.023529411764705882,0.047058823529411764,0.17647058823529413,0.35294117647058826,0.3764705882352941,0.0,0.0,0.6,0.011764705882352941,0.0,0.2,0.18823529411764706,0.0
1452880,36.042857142857144,0.0,0.0,0.0,0.17391304347826086,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.6086956521739131,1.0,0.0,0.0,0.0,0.0,0.0
1458089,51.52,0.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0
1458091,40.925,0.0,0.125,0.0,0.25,0.25,0.25,0.0,0.125,0.75,0.125,0.0,0.125,0.0,0.0
14681,26.469565217391303,0.08333333333333333,0.125,0.125,0.2916666666666667,0.16666666666666666,0.20833333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1468729,20.475,0.0,0.1,0.0,0.4,0.1,0.1,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0
1473094,28.933333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1486128,39.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
15002,41.81935483870968,0.0,0.0136986301369863,0.0547945205479452,0.1780821917808219,0.3561643835616438,0.3972602739726027,0.0,0.0,0.6438356164383562,0.0547945205479452,0.0410958904109589,0.2191780821917808,0.0410958904109589,0.0
150086,34.86046511627907,0.0425531914893617,0.10638297872340426,0.23404255319148937,0.2127659574468085,0.06382978723404255,0.3191489361702128,0.02127659574468085,0.0,0.7446808510638298,0.02127659574468085,0.06382978723404255,0.0851063829787234,0.0851063829787234,0.0
150268,33.166666666666664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0
1507450,27.78333333333333,0.06666666666666667,0.0,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.0,0.7333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667
15103,34.52222222222222,0.0,0.0,0.05263157894736842,0.05263157894736842,0.42105263157894735,0.47368421052631576,0.0,0.0,0.9473684210526315,0.0,0.0,0.05263157894736842,0.0,0.0
15127,36.846428571428575,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.2222222222222222,0.37037037037037035,0.0,0.037037037037037035,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0
1524514,37.92857142857143,0.0,0.0,0.038461538461538464,0.11538461538461539,0.2692307692307692,0.5769230769230769,0.0,0.0,0.8846153846153846,0.0,0.0,0.07692307692307693,0.038461538461538464,0.0
