CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,Cluster_ID,PCA_X,PCA_Y
47113,35.583333333333336,0.0,0.0,0.09090909090909091,0.18181818181818182,0.13636363636363635,0.5909090909090909,0.0,0.0,0.8636363636363636,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0,0.332654498130159,1.0255126424356211
47478,35.05,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0,0.09414964100276263,0.11194200841046541
47505,37.306666666666665,0.125,0.0,0.0,0.125,0.125,0.625,0.0,0.0,0.6875,0.0,0.125,0.125,0.0625,0.0,0,0.4392601252057584,-0.4197798611846316
47535,37.21578947368421,0.047619047619047616,0.0,0.0,0.14285714285714285,0.5714285714285714,0.23809523809523808,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,1,-0.7523358508209284,1.2152996803135705
47603,23.661538461538463,0.0,0.058823529411764705,0.11764705882352941,0.0,0.23529411764705882,0.5882352941176471,0.0,0.0,0.7647058823529411,0.0,0.0,0.23529411764705882,0.0,0.0,0,0.16381910725176446,0.4902123764137525
47630,27.366666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.3333333333333333,0.0,0.0,0.8,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,1,-2.09878037512396,0.654360517449557
47874,33.349999999999994,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.6073252255693253,1.982968313943571
47941,39.44444444444444,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0,2.716491669729736,2.292078128593556
48169,40.46875,0.0,0.0,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.6818181818181818,0.0,0.0,0.8181818181818182,0.0,0.0,0.045454545454545456,0.13636363636363635,0.0,0,1.3140028680051052,0.11812405126359261
48205,24.603571428571428,0.016129032258064516,0.016129032258064516,0.0967741935483871,0.1935483870967742,0.16129032258064516,0.46774193548387094,0.03225806451612903,0.016129032258064516,0.8709677419354839,0.0,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0,1,-0.5986444981082273,1.5513890530315924
48393,41.12,0.0,0.0,0.06666666666666667,0.0,0.2,0.7333333333333333,0.0,0.0,0.6,0.0,0.2,0.13333333333333333,0.06666666666666667,0.0,2,1.5497776040888915,-1.4478947253053935
48437,37.03333333333333,0.0,0.05263157894736842,0.0,0.0,0.42105263157894735,0.47368421052631576,0.05263157894736842,0.0,0.7894736842105263,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,2,0.2966131530201849,0.057717682143832806
48675,36.07272727272727,0.06666666666666667,0.0,0.0,0.2,0.26666666666666666,0.4666666666666667,0.0,0.0,0.5333333333333333,0.0,0.2,0.13333333333333333,0.13333333333333333,0.0,2,-0.23833018856245772,-1.806591366027183
48677,32.375,0.0625,0.0,0.0,0.125,0.25,0.5,0.0625,0.0,0.6875,0.0,0.0,0.125,0.1875,0.0,2,0.04566064644490606,-0.3242798579657416
48679,33.2,0.25,0.0,0.0,0.125,0.375,0.125,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-2.333155238280345,2.811231970363741
48950,38.67272727272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.0,2,2.7718818546495654,-2.2883190262222297
49054,37.43,0.029411764705882353,0.0,0.029411764705882353,0.20588235294117646,0.14705882352941177,0.5,0.029411764705882353,0.058823529411764705,0.8823529411764706,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0,0,0.21050885949616235,1.3211495798136477
49071,33.44,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.6153846153846154,0.0,0.0,0.6923076923076923,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0,0.8252658392572593,-0.37233196395487445
49343,30.544444444444448,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.4411764705882353,0.029411764705882353,0.0,0.8823529411764706,0.0,0.0,0.08823529411764706,0.0,0.029411764705882353,1,-0.8678307828117015,1.4184153405768467
49613,36.35,0.029411764705882353,0.08823529411764706,0.0,0.08823529411764706,0.29411764705882354,0.5,0.0,0.0,0.8529411764705882,0.0,0.08823529411764706,0.0,0.058823529411764705,0.0,0,-0.02488330911225182,0.6757526368992981
4963,32.458333333333336,0.07407407407407407,0.0,0.1111111111111111,0.25925925925925924,0.18518518518518517,0.3333333333333333,0.0,0.037037037037037035,0.9259259259259259,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,1,-1.2434722327614365,1.6857202346679494
5000135,41.78169014084507,0.05333333333333334,0.08,0.12,0.29333333333333333,0.24,0.18666666666666668,0.013333333333333334,0.013333333333333334,0.6133333333333333,0.05333333333333334,0.12,0.09333333333333334,0.10666666666666667,0.013333333333333334,2,-2.342120313521963,-1.4834180141662456
5000143,39.04642857142857,0.0,0.0,0.03076923076923077,0.1076923076923077,0.35384615384615387,0.4307692307692308,0.07692307692307693,0.0,0.7384615384615385,0.015384615384615385,0.06153846153846154,0.13846153846153847,0.046153846153846156,0.0,2,0.1586057466282893,-0.05696951040773159
5000154,24.63529411764706,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.47368421052631576,0.05263157894736842,0.0,0.8421052631578947,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,1,-1.2988996117678906,1.546736025768798
5000201,40.39677419354839,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.06086956521739131,0.09565217391304348,0.391304347826087,0.0782608695652174,0.3217391304347826,0.9217391304347826,0.0,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.02608695652173913,1,0.3913435541981896,2.672829866269504
5000356,39.80352941176471,0.043478260869565216,0.021739130434782608,0.08695652173913043,0.25,0.22826086956521738,0.32608695652173914,0.03260869565217391,0.010869565217391304,0.6195652173913043,0.05434782608695652,0.05434782608695652,0.1956521739130435,0.07608695652173914,0.0,2,-1.1426479332640622,-1.2565613610464381
5000385,44.39767441860465,0.0,0.0,0.0,0.1276595744680851,0.2553191489361702,0.6170212765957447,0.0,0.0,0.2978723404255319,0.02127659574468085,0.1276595744680851,0.44680851063829785,0.0851063829787234,0.02127659574468085,2,1.1428945956266836,-4.0250863517779445
5000578,32.358823529411765,0.0,0.0,0.0,0.15,0.3,0.55,0.0,0.0,0.45,0.05,0.05,0.25,0.2,0.0,2,0.4425025189698429,-2.7188263321047463
5001006,35.266666666666666,0.0,0.0,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0,0.39804354290406935,0.10298892037768247
50082,40.489999999999995,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.6428571428571429,0.0,0.07142857142857142,0.2857142857142857,0.0,0.0,2,-0.6896660069773808,-0.8991172524798516
50229,41.1625,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.4444444444444444,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,2,1.3065646074274866,-2.4787032671762472
50250,45.898148148148145,0.0,0.0,0.0,0.08771929824561403,0.3508771929824561,0.5614035087719298,0.0,0.0,0.5087719298245614,0.017543859649122806,0.08771929824561403,0.14035087719298245,0.24561403508771928,0.0,2,1.00273850748987,-2.79315327911098
50296,24.81463414634146,0.046511627906976744,0.09302325581395349,0.09302325581395349,0.20930232558139536,0.20930232558139536,0.27906976744186046,0.06976744186046512,0.0,0.9534883720930233,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,1,-2.021177741695669,2.3129701422168134
50364,38.72608695652174,0.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.75,0.0,0.0,0.875,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0,1.65267340910709,0.8292189624628293
50572,34.86896551724138,0.0,0.06451612903225806,0.22580645161290322,0.1935483870967742,0.1935483870967742,0.2903225806451613,0.03225806451612903,0.0,0.7741935483870968,0.0,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.0,1,-1.8389333328120232,0.2646596368737501
50582,31.477777777777778,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.2558139534883721,0.3488372093023256,0.23255813953488372,0.023255813953488372,0.0,0.813953488372093,0.0,0.06976744186046512,0.06976744186046512,0.0,0.046511627906976744,1,-1.723391895631256,0.8301822346637369
50752,29.772727272727273,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.5,0.08333333333333333,0.0,0.75,0.0,0.0,0.0,0.0,0.25,1,-0.001893563036589239,1.0377887893821252
50754,28.389473684210525,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.8,0.05,0.1,0.0,0.05,0.0,0,1.723286865511303,0.5789339711179537
50760,35.26363636363636,0.16666666666666666,0.25,0.16666666666666666,0.0,0.25,0.16666666666666666,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,1,-3.3941645695815907,1.35526159611071
5079,36.650877192982456,0.0,0.0,0.028985507246376812,0.15942028985507245,0.21739130434782608,0.5797101449275363,0.014492753623188406,0.0,0.8260869565217391,0.0,0.07246376811594203,0.057971014492753624,0.043478260869565216,0.0,0,0.6739736063948467,0.5689127848983119
50970,34.5,0.0,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.4090909090909091,0.0,0.0,0.6818181818181818,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0,2,-0.7716093372310238,-0.8879683864891412
50981,31.93,0.1,0.0,0.1,0.0,0.1,0.6,0.1,0.0,0.4,0.0,0.0,0.6,0.0,0.0,2,0.2704776394810379,-2.0107086187766705
51020,40.339999999999996,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,1,-2.9376135382481676,-2.120415010836001
51050,34.86875,0.125,0.1875,0.0625,0.125,0.125,0.375,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,1,-1.8038834276677402,1.113676139208523
